dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
openfwi-flatvel-a,OpenFWI - FlatVel-A,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-48}.npy + model{1-48}.npy (train); data/model{49-60}.npy (val),npy,,43 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","24,000 train / 6,000 val samples; family Vel",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. A = smaller velocity contrast (easier variant). Host: Google Drive"
openfwi-flatvel-b,OpenFWI - FlatVel-B,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-48}.npy + model{1-48}.npy (train); data/model{49-60}.npy (val),npy,,43 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","24,000 train / 6,000 val samples; family Vel",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. B = larger velocity contrast (harder variant). Host: Google Drive"
openfwi-curvevel-a,OpenFWI - CurveVel-A,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-48}.npy + model{1-48}.npy (train); data/model{49-60}.npy (val),npy,,43 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","24,000 train / 6,000 val samples; family Vel",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. A = smaller velocity contrast (easier variant). Host: Google Drive"
openfwi-curvevel-b,OpenFWI - CurveVel-B,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-48}.npy + model{1-48}.npy (train); data/model{49-60}.npy (val),npy,,43 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","24,000 train / 6,000 val samples; family Vel",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. B = larger velocity contrast (harder variant). Host: Google Drive"
openfwi-flatfault-a,OpenFWI - FlatFault-A,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-96}.npy + model{1-96}.npy (train); data/model{97-108}.npy (val),npy,,77 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","48,000 train / 6,000 val samples; family Fault",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. A = smaller velocity contrast (easier variant). Host: Google Drive"
openfwi-flatfault-b,OpenFWI - FlatFault-B,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-96}.npy + model{1-96}.npy (train); data/model{97-108}.npy (val),npy,,77 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","48,000 train / 6,000 val samples; family Fault",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. B = larger velocity contrast (harder variant). Host: Google Drive"
openfwi-curvefault-a,OpenFWI - CurveFault-A,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-96}.npy + model{1-96}.npy (train); data/model{97-108}.npy (val),npy,,77 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","48,000 train / 6,000 val samples; family Fault",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. A = smaller velocity contrast (easier variant). Host: Google Drive"
openfwi-curvefault-b,OpenFWI - CurveFault-B,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-96}.npy + model{1-96}.npy (train); data/model{97-108}.npy (val),npy,,77 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","48,000 train / 6,000 val samples; family Fault",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. B = larger velocity contrast (harder variant). Host: Google Drive"
openfwi-style-a,OpenFWI - Style-A,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-120}.npy + model{1-120}.npy (train); data/model{121-134}.npy (val),npy,,95 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","60,000 train / 7,000 val samples; family Style",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. A = smaller velocity contrast (easier variant). Host: Google Drive"
openfwi-style-b,OpenFWI - Style-B,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data{1-120}.npy + model{1-120}.npy (train); data/model{121-134}.npy (val),npy,,95 GB,published,1,"seismic (5, 1000, 70); velocity (1, 70, 70)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","60,000 train / 7,000 val samples; family Style",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. B = larger velocity contrast (harder variant). Host: Google Drive"
