dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
parihaka-3d,Parihaka 3D,NZ,Taranaki,full stack,post-stack,PSTM,Parihaka_PSTM_full_angle.sgy,SEG-Y,5099455344,5.10 GB,HEAD,1,1038162 traces x 1168 samples (3.501 s),3,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_full_angle.sgy,yes,4,"Anisotropic Kirchhoff PSTM. Geometry read from the SEG-Y binary header by HTTP range request (fmt 1 IBM float, 3000 us sample interval). Bucket LISTING is denied (AccessDenied) but objects are public and return 200 - the key must be exact. Labels ship separately (see parihaka-facies-* rows)."
parihaka-3d,Parihaka 3D,NZ,Taranaki,angle stack (near),post-stack,PSTM,Parihaka_PSTM_near_stack.sgy,SEG-Y,5099504464,5.10 GB,HEAD,1,1038172 traces x 1168 samples (3.501 s),3,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_near_stack.sgy,yes,4,"Anisotropic Kirchhoff PSTM. Geometry read from the SEG-Y binary header by HTTP range request (fmt 1 IBM float, 3000 us sample interval). Bucket LISTING is denied (AccessDenied) but objects are public and return 200 - the key must be exact. Labels ship separately (see parihaka-facies-* rows)."
parihaka-3d,Parihaka 3D,NZ,Taranaki,angle stack (mid),post-stack,PSTM,Parihaka_PSTM_mid_stack.sgy,SEG-Y,5099504464,5.10 GB,HEAD,1,1038172 traces x 1168 samples (3.501 s),3,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_mid_stack.sgy,yes,4,"Anisotropic Kirchhoff PSTM. Geometry read from the SEG-Y binary header by HTTP range request (fmt 1 IBM float, 3000 us sample interval). Bucket LISTING is denied (AccessDenied) but objects are public and return 200 - the key must be exact. Labels ship separately (see parihaka-facies-* rows)."
parihaka-3d,Parihaka 3D,NZ,Taranaki,angle stack (far),post-stack,PSTM,Parihaka_PSTM_far_stack.sgy,SEG-Y,5099504464,5.10 GB,HEAD,1,1038172 traces x 1168 samples (3.501 s),3,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/PARIHAKA-3D/Parihaka_PSTM_far_stack.sgy,yes,4,"Anisotropic Kirchhoff PSTM. Geometry read from the SEG-Y binary header by HTTP range request (fmt 1 IBM float, 3000 us sample interval). Bucket LISTING is denied (AccessDenied) but objects are public and return 200 - the key must be exact. Labels ship separately (see parihaka-facies-* rows)."
parihaka-facies-zenodo,Parihaka Annotated Seismic Dataset (slices),NZ,Taranaki,facies labels,post-stack,PSTM,PARIHAKA_PARTITIONED.zip,ZIP,928368066,928.37 MB,api,1,inlines 781x1006; crosslines 590x1006,3,yes,facies,8-bit grayscale PNG masks paired with RGB TIFF seismic slices,"Zenodo 10.5281/zenodo.13994329, derived from the SEG/AICrowd 2020 Parihaka facies challenge; data courtesy NZP&M",pre-partitioned train/test slices,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/13994329,yes,5,"Slice-wise (2D) Parihaka facies labels, already partitioned. Sizes from the Zenodo REST API. Pair with the Parihaka SEG-Y rows for the full 3D cube."
parihaka-facies-npy,Parihaka facies + boundary labels (3D npy),NZ,Taranaki,facies labels,post-stack,PSTM,parihaka_dataset.npy; parihaka_facies.npy; parihaka_boundaries.npy,npy,4177334904,4.18 GB,api,3,,3,yes,facies; facies boundary,"3D numpy arrays, label cube co-registered with the seismic cube","Zenodo 10.5281/zenodo.18988527 compilation (F3 + Parihaka + Penobscot), re-standardised from published sources",seismic cube shipped alongside labels,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18988527,yes,5,"Bytes = parihaka_dataset.npy 1,856,593,248 + parihaka_facies.npy 1,856,593,248 + parihaka_boundaries.npy 464,148,408. True 3D label volume (not slices) - the easiest Parihaka supervised-segmentation start."
opunake-3d,Opunake 3D,NZ,Taranaki,full stack,post-stack,PSTM,OPUNAKE3D-PR3461-FS.3D.Final_Stack.sgy,SEG-Y,10402944680,10.40 GB,HEAD,1,"1,666,070 traces x 1501 samples (6.000 s)",4,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/OPUNAKE-3D/OPUNAKE3D-PR3461-FS.3D.Final_Stack.sgy,yes,4,215 km2 southern Taranaki. Largest single free NZ S3 volume. Geometry from the SEG-Y binary header via range request.
kerry-3d,Kerry 3D,NZ,Taranaki,full stack,post-stack,PSTM,Kerry3D.segy,SEG-Y,1107042960,1.11 GB,HEAD,1,287 inlines x 735 crosslines x 1252 samples (5.004 s),4,no,,,,none bundled,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/open.source.geoscience/open_data/newzealand/Taranaiki_Basin/Keri_3D/Kerry3D.segy,yes,4,"Note the misspelled 'Keri_3D' prefix in the S3 key - the correctly spelled path 403s. 287x735=210,945 traces confirms the inline/crossline split arithmetically. Heavily used in fault-network papers."
waihapa-3d,Waihapa 3D,NZ,Taranaki (onshore),full stack,post-stack,time,,SEG-Y,,,,1,,,no,,,,,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-request,https://geodata.nzpam.govt.nz/,no,2,SIZE DELIBERATELY EMPTY - not verified. Listed on SEG Wiki as an open NZ 3D but no S3 key was ever discovered: the open.source.geoscience bucket denies listing and five candidate key spellings all returned 403. wiki.seg.org is Cloudflare-blocked to automation. Orderable free from NZP&M instead. Do not guess a URL.
maui-3d,Maui 3D,NZ,Taranaki (offshore),full stack,post-stack,time,,SEG-Y,,,,1,,,no,,,,full well suite - NZ's most-drilled field; pre-stack orderable separately,Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-registration,https://geodata.nzpam.govt.nz/,no,2,"SIZE EMPTY - not measured. Not on the public S3 mirror; only via the NZP&M GOLD/Geodata portal, which needs a RealMe login. Portal states 10s of GB for stacks and 100s of GB for pre-stack but publishes no per-file byte counts."
